id,"manufacturer_accrual","category","plan_name","details",company_id,"company_name","expiration",participation_percentage,"external_id","created_at","updated_at"
1457,"3%","Shoes","Laredo Western Boots","Corporate Address
Box 17307
299 Plus Park Rd., #100
Nashville, TN 37217
Fax: (615) 695-2286
Phone: (615) 695-2000
Toll Free: (800) 628-2668
programs matching search criteria   other programsPlan 1 - RetailerPlan 2 - RetailerPlan 3 - RetailerPlan 4 - Retailer
Name
Laredo Western Boots
Type
Retailer
Special Instructions
No pre-approval needed.
Products
boots
Trademarks
Laredo
Timing
Program: Calendar year
Accrual: Calendar year
Advertising: Calendar year
Claim: Within 60 days of ad run
Accrual
3%
Participation
Manufacturer: 50%
Dealer: 50%
lowest earned rate
Eligible Media
Cable TVDirect MailNewspaperOutdoorRadioTV
Advertising Specifications
-Manufacturer's products only; no omnibus ads.-Manufacturer's products must be clearly separated from other products.-Products must be illustrated.-Logo prominent.
Media Requirements
-Direct Mail: prior approval required-Newspaper: audited circulation; audited rates; serving retailer's primary trading area
Advertising Aids
Camera-ready ads; Print elements; Radio elements
Reimbursement Method
Credit memo
Claim Documentation
-Direct Mail: complete copy of piece; paid printer's invoice-Newspaper: full page tearsheet; paid media invoice-Outdoor: paid media invoice; photo-Radio: ANA/RAB * electronic tearsheet; paid media invoice-TV: ANA/CAB * electronic tearsheet; ANA/TvB * electronic tearsheet; paid media invoice
Claim Address
attention :",1148,"Texas Boot Co.","12/31",50,"3550-1","2009-05-18 17:47:39","2009-05-18 17:49:05"
1458,"See Full Citation","Automotive Aftermarket","Havoline Formula 3 Motor Oil","Corporate Address
P.O. Box 4427
1111 Bagby
Houston, TX 77210-4427
Fax: (713) 752-3235
programs matching search criteria   other programsPlan 1 - Havoline Grand Opening ProgramPlan 2 - RetailerPlan 3 - Retail Adv. & Equip. Allowance ProgramPlan 4 - WholesalerPlan 5 - Havoline Store Display ProgramPlan 6 - RetailerPlan 7 - RetailerPlan 8 - RetailerPlan 9 - WholesalerPlan 10 - WholesalerPlan 11 - RetailerPlan 12 - WholesalerPlan 13 - Retailer
Name
Havoline Formula 3 Motor Oil
Type
Retailer
Special Instructions
Contact Texaco District Mgr. for advertising specifics & specialty & promotional guidelines.
Products
motor oil (quarts) & (gallons)
Trademarks
Havoline; Texaco
Timing
Program: Calendar year
Accrual: Calendar year
Claim: Within 90 days of ad run
Participation
Manufacturer: 100%
lowest earned rate
May Include: Space or Time Only
Eligible Media
CatalogDirect MailFlyerMagazineNewspaperNewspaper InsertOutdoorRadioTVYellow Pages
Advertising Placement
Spots Only
Advertising Specifications
-Prior approval required for advertising material not supplied by manufacturer.-Products must be illustrated.-Manufacturer's logo required.-Trademark name required.-Slogan required.
Media Requirements
-Direct Mail: serving retailer's primary trading area-Newspaper: 2nd-class mailing permit; audited circulation; audited rates; paid circulation; serving retailer's primary trading area-Newspaper Insert: serving retailer's primary trading area-Outdoor: prior approval required
Advertising Aids
Camera-ready ads; Print elements; Radio elements; TV commercials; TV elements
Reimbursement Method
Check
Claim Documentation
-All Media: indirect retailers must submit wholesaler's invoice; manufacturer's claim form-Catalog: complete copy of piece; paid media invoice; paid printer's invoice; postal receipt-Direct Mail: complete copy of piece; paid media invoice; paid printer's invoice; postal receipt-Flyer: complete copy of piece; paid printer's invoice; postal receipt-Newspaper: full page tearsheet; paid media invoice; paid printer's invoice-Newspaper Insert: complete copy of piece; paid media invoice; paid printer's invoice; postal receipt-Outdoor: paid media invoice; photo-Radio: ANA/RAB * electronic tearsheet; paid media invoice; script-TV: ANA/TvB * electronic tearsheet; paid media invoice; script-Weekly Newspaper: full page tearsheet; paid media invoice-Yellow Pages: full page tearsheet
Claim Address
Adv. Audit Service
34705 W. 12 Mile Rd.
Farmington Hills, MI 48331",1147,"Texaco Lubricants Co.","12/31",100,"3549-2","2009-05-18 17:47:39","2009-05-18 17:49:05"
1459,"See Full Citation","Automotive Aftermarket","Two-Cycle & Commercial Engine Oils","Corporate Address
P.O. Box 4427
1111 Bagby
Houston, TX 77210-4427
Fax: (713) 752-3235
programs matching search criteria   other programsPlan 1 - Havoline Grand Opening ProgramPlan 2 - RetailerPlan 3 - Retail Adv. & Equip. Allowance ProgramPlan 4 - WholesalerPlan 5 - Havoline Store Display ProgramPlan 6 - RetailerPlan 7 - RetailerPlan 8 - RetailerPlan 9 - WholesalerPlan 10 - WholesalerPlan 11 - RetailerPlan 12 - WholesalerPlan 13 - Retailer
Name
Two-Cycle & Commercial Engine Oils
Type
Wholesaler
Special Instructions
Contact Texaco District Mgr. for advertising specifics & guidelines on equipment, computer-related items and eligible business expenses.
Products
two-cycle engine oil and commercial engine oil
Trademarks
Havoline Commercial Engine Oil; Havoline Two-Cycle Engine Oil
Timing
Program: Calendar year
Accrual: Calendar year
Claim: Within 90 days of ad run
Accrual
$.06 per unit
Participation
Manufacturer: 100%
Eligible Media
CatalogCircularDirect MailFlyerMagazineNewspaperNewspaper InsertOutdoorP.O.P.RadioShopperTVWeekly NewspaperYellow Pages
Advertising Specifications
-No competing products.-Only advertising material supplied by manufacturer may be used.-Prior approval required for advertising material not supplied by manufacturer.-Trademark name required.-Slogan required.-Product description.
Media Requirements
-Catalog: prior approval required; serving retailer's primary trading area-Direct Mail: serving retailer's primary trading area-Newspaper: 2nd-class mailing permit; audited circulation; audited rates; paid circulation; serving retailer's primary trading area-Newspaper Insert: serving retailer's primary trading area-Outdoor: prior approval required-Radio: FCC license-TV: FCC license-Weekly Newspaper: 2nd-class mailing permit; audited circulation; audited rates; paid circulation; serving retailer's primary trading area
Advertising Aids
Camera-ready ads; Print elements; Radio commercials; Radio elements; TV commercials
Reimbursement Method
Check
Claim Documentation
-All Media: manufacturer's claim form; paid media invoice-Catalog: complete copy of piece; paid printer's invoice; postal receipt-Circular: complete copy of piece; paid printer's invoice; postal receipt-Direct Mail: complete copy of piece; paid printer's invoice; postal receipt-Flyer: complete copy of piece; paid printer's invoice; postal receipt-Newspaper: full page tearsheet-Newspaper Insert: complete copy of piece; paid printer's invoice-Outdoor: photo-Radio: ANA/RAB * electronic tearsheet; script-Shopper: complete copy of piece; paid printer's invoice-TV: ANA/TvB * electronic tearsheet; script-Weekly Newspaper: full page tearsheet-Yellow Pages: full page tearsheet
Claim Address
Adv. Audit Service
34705 W. 12 Mile Rd.
Farmington Hills, MI 48331",1147,"Texaco Lubricants Co.","12/31",100,"3549-13","2009-05-18 17:47:39","2009-05-18 17:49:05"
1460,"2%","Shoes","J. Chisholm","Corporate Address
Box 17307
299 Plus Park Rd., #100
Nashville, TN 37217
Fax: (615) 695-2286
Phone: (615) 695-2000
Toll Free: (800) 628-2668
programs matching search criteria   other programsPlan 1 - RetailerPlan 2 - RetailerPlan 3 - RetailerPlan 4 - Retailer
Name
J. Chisholm
Type
Retailer
Special Instructions
Contact Customer Service Dept. for complete guidelines and details of program.
Products
handcrafted boots
Trademarks
J. Chisholm
Timing
Program: Jan. 31 - Dec. 31
Accrual: Jan. 31 - Dec. 31
Advertising: Mar. 31 - Dec. 31
Claim: Within 60 days of ad run
Accrual
2%
Participation
Manufacturer: 50%
Dealer: 50%
Eligible Media
Cable TVCatalogDirect MailFlyerNewspaperOutdoorRadioTVYellow Pages
Advertising Specifications
-Only regular, first-line merchandise qualifies.-Manufacturer's products only; no omnibus ads.-Prior approval required for advertising material not supplied by manufacturer.-Trademark name required.-Trademark name must be prominent.-Not misleading.-Logo prominent.
Media Requirements
-Catalog: prior approval required-Direct Mail: prior approval required-Flyer: prior approval required-Newspaper: broad general interest; published rate card required-Outdoor: prior approval required-Radio: FCC license-TV: FCC license-Yellow Pages: prior approval required
Advertising Aids
Print elements
Reimbursement Method
Credit memo
Claim Documentation
-Catalog: complete copy of piece; paid media invoice; paid printer's invoice; postal receipt-Direct Mail: complete copy of piece; paid media invoice; paid printer's invoice; postal receipt-Flyer: complete copy of piece; paid media invoice; paid printer's invoice; postal receipt-Newspaper: debit memo or invoice from advertiser; full page tearsheet; paid media invoice-Outdoor: paid media invoice; photo; prior approval documentation; proof of performance-Radio: ANA/RAB * electronic tearsheet; paid media invoice; script-TV: ANA/CAB * electronic tearsheet; ANA/TvB * electronic tearsheet; paid media invoice; script-Yellow Pages: full page tearsheet; paid media invoice; prior approval documentation
Claim Address
Co-op Adv. Services
P.O. Box 1404
Brentwood, TN 37024
Personnel
Program Contact
Tom Shearon (V.P.-Sls. & Mktg.)
Phone: (615) 444-5440
Toll Free: (800) 628-2668",1148,"Texas Boot Co.","12/31",50,"3550-2","2009-05-18 17:47:39","2009-05-18 17:49:05"
1461,"See Full Citation","Automotive Aftermarket","Havoline Formula 3 Motor Oil","Corporate Address
P.O. Box 4427
1111 Bagby
Houston, TX 77210-4427
Fax: (713) 752-3235
programs matching search criteria   other programsPlan 1 - Havoline Grand Opening ProgramPlan 2 - RetailerPlan 3 - Retail Adv. & Equip. Allowance ProgramPlan 4 - WholesalerPlan 5 - Havoline Store Display ProgramPlan 6 - RetailerPlan 7 - RetailerPlan 8 - RetailerPlan 9 - WholesalerPlan 10 - WholesalerPlan 11 - RetailerPlan 12 - WholesalerPlan 13 - Retailer
Name
Havoline Formula 3 Motor Oil
Type
Retail Adv. & Equip. Allowance Program
Special Instructions
Contact Texaco District Mgr. for adv. specifics & details on equipment, computer-related items and other eligible business expenses.
Products
motor oil
Trademarks
Havoline Formula 3
Timing
Program: Calendar year
Accrual: Calendar year
Claim: Within 90 days of ad run
Participation
Manufacturer: 100%
May Include: Space or Time Only
Eligible Media
CatalogDirect MailFlyerNewspaperNewspaper InsertOutdoorPresentation FoldersRadioTVWeekly NewspaperYellow Pages
Advertising Specifications
-No competing products.-Only advertising material supplied by manufacturer may be used.-Prior approval required for advertising material not supplied by manufacturer.-Products must be illustrated.-Trademark name required.-Slogan required.-Product description.
Media Requirements
-Direct Mail: serving retailer's primary trading area-Newspaper: 2nd-class mailing permit; audited circulation; audited rates; paid circulation; serving retailer's primary trading area-Newspaper Insert: serving retailer's primary trading area-Outdoor: prior approval required-Radio: prior approval required-TV: prior approval required
Advertising Aids
Camera-ready ads; Print elements; Radio commercials; Radio elements; TV commercials
Reimbursement Method
Check
Claim Documentation
-All Media: manufacturer's claim form-Catalog: complete copy of piece; paid printer's invoice; postal receipt-Direct Mail: complete copy of piece; paid media invoice; paid printer's invoice; postal receipt-Flyer: complete copy of piece; paid printer's invoice; postal receipt-Newspaper: full page tearsheet; paid media invoice; paid printer's invoice-Newspaper Insert: complete copy of piece; paid media invoice; paid printer's invoice; postal receipt-Outdoor: paid media invoice; photo-Radio: ANA/RAB * electronic tearsheet; paid media invoice; script-TV: ANA/TvB * electronic tearsheet; paid media invoice; script-Yellow Pages: full page tearsheet
Claim Address
Adv. Audit Service
34705 W. 12 Mile Rd.
Farmington Hills, MI 48331",1147,"Texaco Lubricants Co.","12/31",100,"3549-3","2009-05-18 17:47:39","2009-05-18 17:49:05"
1462,"2%","Shoes","Texas Brand","Corporate Address
Box 17307
299 Plus Park Rd., #100
Nashville, TN 37217
Fax: (615) 695-2286
Phone: (615) 695-2000
Toll Free: (800) 628-2668
programs matching search criteria   other programsPlan 1 - RetailerPlan 2 - RetailerPlan 3 - RetailerPlan 4 - Retailer
Name
Texas Brand
Type
Retailer
Special Instructions
Contact Customer Service Dept. for questions and complete details of program.
Products
western boots
Trademarks
Code West; J. Chisholm; Laredo; Texas Brand
Timing
Program: Jan. 31 - Dec. 31
Accrual: Jan. 31 - Dec. 31
Advertising: Mar. 31 - Dec. 31
Claim: Within 60 days of ad run
Accrual
2%
Participation
Manufacturer: 50%
Dealer: 50%
Eligible Media
Cable TVCatalogDirect MailFlyerMagazineNewspaperOutdoorRadioTVYellow Pages
Advertising Specifications
-Only regular, first-line merchandise qualifies.-Manufacturer's products only; no omnibus ads.-No competing products.-Prior approval required for advertising material not supplied by manufacturer.-Manufacturer's logo required.-Trademark name required.-Trademark name must be prominent.-Not misleading.-Store name and address.-Logo prominent.
Media Requirements
-Catalog: prior approval required-Circular: prior approval required-Direct Mail: prior approval required-Flyer: prior approval required-Newspaper: broad general interest; published rate card required-Outdoor: prior approval required-Radio: FCC license-TV: FCC license-Yellow Pages: prior approval required
Advertising Aids
Camera-ready ads; Print elements; Radio elements
Reimbursement Method
Check; Credit memo
Claim Documentation
-Catalog: complete copy of piece; paid media invoice; paid printer's invoice; postal receipt-Circular: complete copy of piece; paid media invoice; paid printer's invoice; postal receipt-Direct Mail: complete copy of piece; paid media invoice; paid printer's invoice; postal receipt-Flyer: complete copy of piece; paid media invoice; paid printer's invoice; postal receipt-Newspaper: debit memo or invoice from advertiser; full page tearsheet; paid media invoice-Outdoor: paid media invoice; photo; prior approval documentation; proof of performance-Radio: ANA/RAB * electronic tearsheet; paid media invoice; proof of performance; script; station affidavit-TV: ANA/CAB * electronic tearsheet; ANA/TvB * electronic tearsheet; paid media invoice; script-Yellow Pages: full page tearsheet; paid media invoice; prior approval documentation
Claim Address
Co-op Adv. Services
P.O. Box 1404
Brentwood, TN 37024
Personnel
Program Contact
Tommy Shearon (V.P.-Sls. & Mktg.)
Phone: (615) 444-5440
Toll Free: (800) 628-2668",1148,"Texas Boot Co.","12/31",50,"3550-3","2009-05-18 17:47:39","2009-05-18 17:49:05"
1463,"See Full Citation","Toys, Games and Hobbies","","Corporate Address
2021 9th St., S.E.
Dyersville, IA 52040-2316
Fax: (563) 875-5674
programs matching search criteria   other programsPlan 1 - Retailer/WholesalerPlan 2 - Retailer/Wholesaler
Type
Retailer/Wholesaler
Special Instructions
Direct accounts purchasing on any Ertl prods.
Trademarks
AMT By Ertl; Ertl; Ertl Collectibles
Timing
Program: Calendar year
Accrual: Calendar year
Advertising: Calendar year
Claim: by Jan. 31
Participation
Manufacturer: 100%
May Include: Color Charges
Eligible Media
CatalogCircularDirect MailFlyerMagazineNewspaperNewspaper InsertRadioShopperTVWeekly Newspaper
Advertising Specifications
-Products must be illustrated.-Manufacturer's logo required.-Trademark name required.-Trademark name must be prominent.-Not misleading.-Logo prominent.
Media Requirements
-All Media: manufacturer's agreement/commitment form or contract must be completed before advertising is scheduled.
Advertising Aids
Print elements
Reimbursement Method
Credit memo
Claim Documentation
-Catalog: complete copy of piece; paid media invoice; proof of performance-Circular: full page tearsheet; paid media invoice; proof of performance-Direct Mail: complete copy of piece; paid media invoice; proof of performance-Flyer: complete copy of piece; paid media invoice; proof of performance-Magazine: full page tearsheet; paid media invoice; proof of performance-Newspaper: full page tearsheet; paid media invoice; proof of performance-Newspaper Insert: full page tearsheet; paid media invoice; proof of performance-Radio: paid media invoice; script; station affidavit-Shopper: full page tearsheet; paid media invoice; proof of performance-TV: paid media invoice; script; station affidavit-Weekly Newspaper: full page tearsheet; paid media invoice; proof of performance
Claim Address
Attn: Finance Dept.
Racing Champion Ertl Inc.
P.O. Box 500
Hwy. 126 and 20
Dyersville",1149,"Racing Champion Ertl Inc.","12/31",100,"3553-1","2009-05-18 17:47:39","2009-05-18 17:49:05"
1464,"3%","Shoes","El Dorado","Corporate Address
Box 17307
299 Plus Park Rd., #100
Nashville, TN 37217
Fax: (615) 695-2286
Phone: (615) 695-2000
Toll Free: (800) 628-2668
programs matching search criteria   other programsPlan 1 - RetailerPlan 2 - RetailerPlan 3 - RetailerPlan 4 - Retailer
Name
El Dorado
Type
Retailer
Special Instructions
For specific questions contact the Customer Service Dept.
Products
handmade boots
Trademarks
J. Chisholm; Laredo Western Boots; Texas Brand Boots
Timing
Program: Jan. 31 - Dec. 31
Accrual: Jan. 31 - Dec. 31
Advertising: Mar. 31 - Dec. 31
Claim: Within 60 days of ad run
Accrual
3%
Participation
Manufacturer: 50%
Dealer: 50%
May Include: Space or Time Only
Eligible Media
Cable TVCatalogDirect MailFlyerNewspaperOutdoorRadioTVYellow Pages
Advertising Specifications
-Only regular, first-line merchandise qualifies.-Manufacturer's products only; no omnibus ads.-Prior approval required for advertising material not supplied by manufacturer.-Trademark name must be prominent.-Not misleading.-Logo prominent.
Media Requirements
-Catalog: prior approval required-Circular: prior approval required-Direct Mail: prior approval required-Flyer: prior approval required-Newspaper: broad general interest; published rate card required-Outdoor: prior approval required-Radio: FCC license-TV: FCC license-Yellow Pages: prior approval required
Advertising Aids
Print elements
Reimbursement Method
Check
Claim Documentation
-Catalog: complete copy of piece; paid media invoice; paid printer's invoice; postal receipt-Circular: complete copy of piece; paid media invoice; paid printer's invoice; postal receipt-Direct Mail: complete copy of piece; paid media invoice; paid printer's invoice; postal receipt-Flyer: complete copy of piece; paid media invoice; paid printer's invoice; postal receipt-Newspaper: debit memo or invoice from advertiser; full page tearsheet; paid media invoice-Outdoor: paid media invoice; photo; prior approval documentation; proof of performance-Radio: ANA/RAB * electronic tearsheet; paid media invoice; script-TV: ANA/CAB * electronic tearsheet; ANA/TvB * electronic tearsheet; paid media invoice; script-Yellow Pages: full page tearsheet; paid media invoice; prior approval documentation
Claim Address
Co-op Adv. Services
P.O. Box 1404
Brentwood, TN 37024
Personnel
Program Contact
Glenda Penington (Dir. Mktg./Adv.)
Phone: (615) 444-5440
Toll Free: (800) 628-2668",1148,"Texas Boot Co.","12/31",50,"3550-4","2009-05-18 17:47:39","2009-05-18 17:49:05"
1465,"See Full Citation","Toys, Games and Hobbies","","Corporate Address
2021 9th St., S.E.
Dyersville, IA 52040-2316
Fax: (563) 875-5674
programs matching search criteria   other programsPlan 1 - Retailer/WholesalerPlan 2 - Retailer/Wholesaler
Type
Retailer/Wholesaler
Special Instructions
Direct accts. only.
Products
collectibles; die cast; toys & model kits
Trademarks
AMT; Ertl; Ertl Collectibles
Timing
Program: Calendar year
Accrual: Calendar year
Advertising: Calendar year
Claim: by Jan. 31
Accrual
1%; 2%
Participation
Manufacturer: 100%
Eligible Media
CatalogCircularDirect MailFlyerMagazineNewspaperNewspaper InsertShopperWeekly Newspaper
Advertising Specifications
-Products must be illustrated.-Manufacturer's logo required.-Trademark name required.-Trademark name must be prominent.-Not misleading.-Logo prominent.
Media Requirements
-All Media: manufacturer's agreement/commitment form or contract must be completed before advertising is scheduled.
Advertising Aids
Print elements
Reimbursement Method
Credit memo
Claim Documentation
-Catalog: complete copy of piece; paid media invoice; proof of performance-Circular: full page tearsheet; paid media invoice; proof of performance-Direct Mail: complete copy of piece; paid media invoice; proof of performance-Flyer: complete copy of piece; paid media invoice; proof of performance-Magazine: complete copy of piece; paid media invoice; proof of performance-Newspaper: full page tearsheet; paid media invoice; proof of performance-Newspaper Insert: full page tearsheet; paid media invoice; proof of performance-Radio: paid media invoice; script; station affidavit-Shopper: full page tearsheet; paid media invoice; proof of performance-TV: paid media invoice; script; station affidavit-Weekly Newspaper: full page tearsheet; paid media invoice; proof of performance
Claim Address
Attn: Finance Dept.
Racing Champion Ertl Inc.
P.O. Box 500
Hwy. 126 and 20
Dyersville",1149,"Racing Champion Ertl Inc.","12/31",100,"3553-2","2009-05-18 17:47:39","2009-05-18 17:49:05"
1466,"See Full Citation","Automotive Aftermarket","Synthetic Motor Oil & Trans. Fluid","Corporate Address
P.O. Box 4427
1111 Bagby
Houston, TX 77210-4427
Fax: (713) 752-3235
programs matching search criteria   other programsPlan 1 - Havoline Grand Opening ProgramPlan 2 - RetailerPlan 3 - Retail Adv. & Equip. Allowance ProgramPlan 4 - WholesalerPlan 5 - Havoline Store Display ProgramPlan 6 - RetailerPlan 7 - RetailerPlan 8 - RetailerPlan 9 - WholesalerPlan 10 - WholesalerPlan 11 - RetailerPlan 12 - WholesalerPlan 13 - Retailer
Name
Synthetic Motor Oil & Trans. Fluid
Type
Retailer
Special Instructions
Contact Texaco District Mgr. for advertising specifics & specialty & promotional guidelines.
Products
automatic transmission fluid; synthetic motor oil
Trademarks
Havoline
Timing
Program: Calendar year
Accrual: Calendar year
Claim: Within 90 days of ad run
Participation
Manufacturer: 100%
May Include: Space or Time Only
Eligible Media
CatalogCircularDirect MailFlyerNewspaperNewspaper InsertOutdoorRadioTVYellow Pagesspecialty promo.; trade shows
Advertising Placement
Spots Only
Advertising Specifications
-No competing products.-Only advertising material supplied by manufacturer may be used.-Prior approval required for advertising material not supplied by manufacturer.-Products must be illustrated.-Slogan required.
Media Requirements
-All Media: manufacturer's agreement/commitment form or contract must be completed before advertising is scheduled.-Direct Mail: serving retailer's primary trading area-Newspaper: audited circulation; audited rates; serving retailer's primary trading area-Newspaper Insert: serving retailer's primary trading area-Outdoor: prior approval required-Radio: prior approval required-TV: prior approval required
Advertising Aids
Camera-ready ads; Print elements; Radio commercials; Radio elements; TV commercials
Reimbursement Method
Check
Claim Documentation
-All Media: manufacturer's claim form-Catalog: complete copy of piece; paid printer's invoice; postal receipt-Direct Mail: complete copy of piece; paid media invoice; paid printer's invoice; postal receipt; prior approval documentation-Newspaper: full page tearsheet; paid media invoice-Newspaper Insert: complete copy of piece; paid printer's invoice; postal receipt-Outdoor: paid media invoice; photo-Radio: paid media invoice; script; station affidavit-TV: paid media invoice; script; station affidavit-Yellow Pages: full page tearsheet; paid media invoice
Claim Address
Adv. Audit Service
34705 W. 12 Mile Rd.
Farmington Hills, MI 48331",1147,"Texaco Lubricants Co.","12/31",100,"3549-6","2009-05-18 17:47:39","2009-05-18 17:49:05"
1467,"See Full Citation","Optical","","Corporate Address
500 George Washington Hwy.
Smithfield, RI 02917
Fax: (401) 231-4120
programs matching search criteria   other programsPlan 1 - RetailerPlan 2 - RetailerPlan 3 - RetailerPlan 4 - RetailerPlan 5 - Retailer
Type
Retailer
Products
sunglasses
Trademarks
Clip-Ons; Coppertone; Driver's Choice; Driver's Choice Reflectors; FG Spec 1000; Foster Grant; Revlon; Sport FG; Sunfighters; Ultra's
Timing
Program: Sep. 01 - Aug. 31
Accrual: Sep. 01 - Aug. 31
Advertising: Sep. 01 - Aug. 31
Claim: Within 60 days of ad run
Participation
Manufacturer: 100%
lowest earned rate
Eligible Media
Cable TVNewspaperRadioTVWeekly Newspaper
Advertising Specifications
-Only regular, first-line merchandise qualifies.-No competing products.-Prior approval required for advertising material not supplied by manufacturer.
Media Requirements
-All Media: manufacturer's agreement/commitment form or contract must be completed before advertising is scheduled.; prior approval required-Catalog: paid circulation; prior approval required-Flyer: prior approval required-Newspaper: paid circulation-Newspaper Insert: paid circulation; prior approval required-Weekly Newspaper: paid circulation
Advertising Aids
Print elements; Radio elements
Reimbursement Method
Credit memo
Claim Documentation
-All Media: indirect retailers must submit wholesaler's invoice; manufacturer's claim form-Catalog: complete copy of piece; debit memo or invoice from advertiser; paid media invoice; postal receipt-Newspaper: debit memo or invoice from advertiser; full page tearsheet; paid media invoice; postal receipt-Newspaper Insert: complete copy of piece; debit memo or invoice from advertiser; paid media invoice; postal receipt-Radio: ANA/RAB * electronic tearsheet; debit memo or invoice from advertiser; paid media invoice-TV: ANA/CAB * electronic tearsheet; ANA/TvB * electronic tearsheet; debit memo or invoice from advertiser; paid media invoice-Weekly Newspaper: debit memo or invoice from advertiser; full page tearsheet; paid media invoice; postal receipt
Claim Address
Attn: Co-op Adv.
The Foster Grant Group
Div. of the Bonneau Co.
500 George Washington Hwy.
Smithfield",1150,"The Foster Grant Group","08/31",100,"3555-1","2009-05-18 17:47:39","2009-05-18 17:49:05"
1468,"See Full Citation","Automotive Aftermarket","Anti-Freeze Coolant","Corporate Address
P.O. Box 4427
1111 Bagby
Houston, TX 77210-4427
Fax: (713) 752-3235
programs matching search criteria   other programsPlan 1 - Havoline Grand Opening ProgramPlan 2 - RetailerPlan 3 - Retail Adv. & Equip. Allowance ProgramPlan 4 - WholesalerPlan 5 - Havoline Store Display ProgramPlan 6 - RetailerPlan 7 - RetailerPlan 8 - RetailerPlan 9 - WholesalerPlan 10 - WholesalerPlan 11 - RetailerPlan 12 - WholesalerPlan 13 - Retailer
Name
Anti-Freeze Coolant
Type
Retailer
Special Instructions
Contact Texaco District Mgr. for advertising specifics & specialty & promotional guidelines.
Products
Antifreeze & coolants
Trademarks
Texaco
Timing
Program: Calendar year
Accrual: Calendar year
Claim: Within 90 days of ad run
Accrual
$.10 per unit
Participation
Manufacturer: 100%
May Include: Space or Time Only
Eligible Media
CatalogCircularDirect MailNewspaperNewspaper InsertOutdoorRadioShopperTVWeekly NewspaperYellow Pages
Advertising Placement
Spots Only
Advertising Specifications
-No competing products.-Prior approval required for advertising material not supplied by manufacturer.-Trademark name required.-Slogan required.-Product description.
Media Requirements
-Catalog: prior approval required; serving retailer's primary trading area-Direct Mail: serving retailer's primary trading area-Newspaper: 2nd-class mailing permit; audited circulation; audited rates; paid circulation; serving retailer's primary trading area-Newspaper Insert: serving retailer's primary trading area-Outdoor: prior approval required-Radio: FCC license-TV: FCC license-Weekly Newspaper: 2nd-class mailing permit; audited circulation; audited rates; paid circulation; serving retailer's primary trading area
Advertising Aids
Camera-ready ads; Print elements; Radio commercials; Radio elements; TV commercials
Reimbursement Method
Check
Claim Documentation
-All Media: manufacturer's claim form; paid media invoice-Catalog: complete copy of piece; paid printer's invoice; postal receipt-Circular: complete copy of piece; paid printer's invoice; postal receipt-Direct Mail: complete copy of piece; paid printer's invoice; postal receipt-Flyer: complete copy of piece; paid printer's invoice; postal receipt-Newspaper: full page tearsheet-Newspaper Insert: complete copy of piece; paid printer's invoice-Outdoor: photo-Radio: ANA/RAB * electronic tearsheet; script-Shopper: complete copy of piece; paid printer's invoice-TV: ANA/TvB * electronic tearsheet; script-Weekly Newspaper: full page tearsheet-Yellow Pages: full page tearsheet
Claim Address
Adv. Audit Service
34705 W. 12 Mile Rd.
Farmington Hills, MI 48331",1147,"Texaco Lubricants Co.","12/31",100,"3549-7","2009-05-18 17:47:39","2009-05-18 17:49:05"
1469,"3%","Lawn, Garden and Snow Removal Products","","Corporate Address
P.O. Box 70
Independence, OR 97351
Fax: (503) 838-6805
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Special Instructions
Only products listed on the current calendar are eligible for co-op advertising reimbursement.  The following are excluded: Ammonium Sulfate, Casoron, Private Label, Rapid Green Lawn Food, Rapid Green Weed & Feed, Soil Sweet, Super Sweet, Vitamin B-1, UltraLime and Urea.  Contact mfr. for current guidelines and specifics of Co-op plan.
Products
fertilizer; organic potting compost; potting soils
Trademarks
Black Magic; Lilly Miller; Super Soils; Whitney Farms
Timing
Program: Oct. 01 - Sep. 30
Accrual: Oct. 01 - Sep. 30
Advertising: Oct. 01 - Sep. 30
Accrual
3%
Participation
Manufacturer: 100%
Eligible Media
CatalogFlyerNewspaperNewspaper InsertRadioShopperTVWeekly Newspaper
Advertising Specifications
-All advertising requires prior approval.-Prior approval required for advertising material not supplied by manufacturer.-Products must be illustrated.-Manufacturer's logo required.-Not misleading.
Reimbursement Method
Credit memo
Claim Documentation
-All Media: manufacturer's claim form-Catalog: affidavit of distribution; paid printer's invoice-Circular: affidavit of distribution; paid printer's invoice-Newspaper: affidavit of distribution; full page tearsheet; paid printer's invoice-Newspaper Insert: complete copy of piece-Radio: ANA/RAB * electronic tearsheet; paid media invoice; script-Shopper: affidavit of distribution; paid printer's invoice-TV: ANA/TvB * electronic tearsheet; paid media invoice; script
Claim Address
Send claim to wholesaler.",1151,"Rod McLellan Co.","09/30",100,"3556-1","2009-05-18 17:47:39","2009-05-18 17:49:05"
